,citing_int_id,cited_int_id,intent_labels,section_name,citance,context,citing_ss_id,citing_title,citing_year,citing_authors,cited_ss_id,cited_title,cited_year,cited_authors
805,Q13-1020,W06-1606,[0],introduction,"Due to their remarkable ability to incorporate context structure information and long distance reordering into the translation process , treebased translation models have shown promising progress in improving translation quality ( <CITATION/> , 2009 ; <CITATION/> , 2006 ; <TARGET_CITATION/> ) .","In recent years, treebased translation models1 are drawing more and more attention in the community of statistical machine translation (SMT). Due to their remarkable ability to incorporate context structure information and long distance reordering into the translation process , treebased translation models have shown promising progress in improving translation quality ( <CITATION/> , 2009 ; <CITATION/> , 2006 ; <TARGET_CITATION/> ) . Due to their remarkable ability to incorporate context structure information and long distance reordering into the translation process, treebased translation models have shown promising progress in improving translation quality (<CITATION/>, 2009; <CITATION/>, 2006; <CITATION/>). In recent years, treebased translation models1 are drawing more and more attention in the community of statistical machine translation (SMT).",aaf0174070ddb003bdb4a6452ef9ffd4a05467b8,Unsupervised Tree Induction for Tree-based Translation,2013,Feifei Zhai; Jiajun Zhang; Yu Zhou; Chengqing Zong,cb59fada125478c0302c6874aa13a83ab0ac62f1,SPMT: Statistical Machine Translation with Syntactified Target Language Phrases,2006,D. Marcu; Wei Wang; Abdessamad Echihabi; Kevin Knight
806,N10-1084,External_56137,[0],related work,<TARGET_CITATION/> all belong to the syntactic transformation category .,"<CITATION/> embedded information in the tree structure of the text by adjusting the structural properties of intermediate representations of sentences. In other words, instead of performing lexical substitution directly to the text, the secret message is embedded into syntactic parse trees of the sentences. <TARGET_CITATION/> all belong to the syntactic transformation category . <CITATION/> all belong to the syntactic transformation category. In other words, instead of performing lexical substitution directly to the text, the secret message is embedded into syntactic parse trees of the sentences. <CITATION/> embedded information in the tree structure of the text by adjusting the structural properties of intermediate representations of sentences.",b751fbbcdb05973856b18362baf8da581a4edfc3,Linguistic Steganography Using Automatically Generated Paraphrases,2010,Ching-Yun Chang; S. Clark,,syntactic information hiding in plain text masters thesis trinity college dublin,2001,Brian Murphy
808,W06-2807,External_98156,[0],,"On the other side , wikis started as collective works where each entry is not owned by a single author e.g. <TARGET_CITATION/> .","So blogs are a literary metagenre which started as authored personal diaries or journals. Now they try to collect themselves in socalled blogspheres'. On the other side , wikis started as collective works where each entry is not owned by a single author e.g. <TARGET_CITATION/> . On the other side, wikis started as collective works where each entry is not owned by a single author e.g. <CITATION/>. Now they try to collect themselves in socalled blogspheres'. So blogs are a literary metagenre which started as authored personal diaries or journals.",48aec60cf83eb18975aaec50ef52fcbbb948603e,"Novelle, a collaborative open source writing tool software",2006,F. Gobbo; Michele Chinosi; Massimiliano Pepe,,wikipedia from wikipedia the free encyclopedia,2005,Wikipedia
810,D08-1034,External_34855,[2],,<TARGET_CITATION/> has built a semantic role classifier exploiting the interdependence of semantic roles ., <TARGET_CITATION/> has built a semantic role classifier exploiting the interdependence of semantic roles . <CITATION/> has built a semantic role classifier exploiting the interdependence of semantic roles.,74cc22ca9eeee2997b0ecf2883b57d1a81842299,Improving Chinese Semantic Role Classification with Hierarchical Feature Selection Strategy,2008,Weiwei Ding; Baobao Chang,fc9da1be811f02b000883c99f4fb2cf0ae9a1330,Semantic Argument Classification Exploiting Argument Interdependence,2005,Zheng Ping Jiang; Jia Li; H. Ng
811,W06-1639,External_55734,[0],related work,Others have applied the NLP technologies of nearduplicate detection and topicbased text categorization to politically oriented text <TARGET_CITATION/> .,"There has also been work focused upon determining the political leaning (e.g., liberal'' vs. conservative'') of a document or author, where most previouslyproposed methods make no direct use of relationships between the documents to be classified (the unlabeled'' texts) <CITATION/>. An exception is <CITATION/>, who experimented with determining the political orientation of websites essentially by classifying the concatenation of all the documents found on that site. Others have applied the NLP technologies of nearduplicate detection and topicbased text categorization to politically oriented text <TARGET_CITATION/> . Others have applied the NLP technologies of nearduplicate detection and topicbased text categorization to politically oriented text <CITATION/>. An exception is <CITATION/>, who experimented with determining the political orientation of websites essentially by classifying the concatenation of all the documents found on that site. There has also been work focused upon determining the political leaning (e.g., liberal'' vs. conservative'') of a document or author, where most previouslyproposed methods make no direct use of relationships between the documents to be classified (the unlabeled'' texts) <CITATION/>.",dc832b298290e316d1218266f6f33de97c9b5679,Get out the vote: Determining support or opposition from Congressional floor-debate transcripts,2006,Matt Thomas; B. Pang; Lillian Lee,7c06832d8f13e4faf149fff4c1368ac4fab1b6d8,Automated classification of congressional legislation,2006,Stephen Purpura; D. Hillard
812,D08-1004,P04-1035,[3],experiments,"8 It is based on the dataset of <TARGET_CITATION/> ,9 which consists of 1000 positive and 1000 negative movie reviews , tokenized and divided into 10 folds ( F0  F9 ) .","In <CITATION/>, we introduced the Movie Review Polarity Dataset Enriched with Annotator Rationales.'' 8 It is based on the dataset of <TARGET_CITATION/> ,9 which consists of 1000 positive and 1000 negative movie reviews , tokenized and divided into 10 folds ( F0  F9 ) . 8 It is based on the dataset of <CITATION/>,9 which consists of 1000 positive and 1000 negative movie reviews, tokenized and divided into 10 folds (F0F9). In <CITATION/>, we introduced the Movie Review Polarity Dataset Enriched with Annotator Rationales.''",14e2aec7e25d8880a851a547cf8d27a9721f8e6c,Modeling Annotators: A Generative Approach to Learning from Annotator Rationales,2008,Omar Zaidan; Jason Eisner,167e1359943b96b9e92ee73db1df69a1f65d731d,A Sentimental Education: Sentiment Analysis Using Subjectivity Summarization Based on Minimum Cuts,2004,B. Pang; Lillian Lee
813,J90-3003,P86-1022,[3],introduction,"In previous work <TARGET_CITATION/> , we described an experimental texttospeech system that determined prosodic phrasing for the Olive  Liberman synthesizer <CITATION/> ."," In previous work <TARGET_CITATION/> , we described an experimental texttospeech system that determined prosodic phrasing for the Olive  Liberman synthesizer <CITATION/> . In previous work <CITATION/>, we described an experimental texttospeech system that determined prosodic phrasing for the OliveLiberman synthesizer <CITATION/>.",678083540de63943000e9e0f19ac07e5e3678d70,A Computational Grammar of Discourse-Neutral Prosodic Phrasing in English,1990,J. Bachenko; Eileen Fitzpatrick,826c7abff3ea69c74ac1dc16acd1c381516b1712,The Contribution of Parsing to Prosodic Phrasing in an Experimental Text-to-Speech System,1986,J. Bachenko; Eileen Fitzpatrick; C. Wright
815,N01-1006,P98-1029,[2],experiments,"The data used in the experiment was selected from the Penn Treebank Wall Street Journal , and is the same used by <TARGET_CITATION/> .","The goal of this task is to assign to each word in the given sentence a tag corresponding to its part of speech. A multitude of approaches have been proposed to solve this problem, including transformationbased learning, Maximum Entropy models, Hidden Markov models and memorybased approaches. The data used in the experiment was selected from the Penn Treebank Wall Street Journal , and is the same used by <TARGET_CITATION/> . The data used in the experiment was selected from the Penn Treebank Wall Street Journal, and is the same used by <CITATION/>. A multitude of approaches have been proposed to solve this problem, including transformationbased learning, Maximum Entropy models, Hidden Markov models and memorybased approaches. The goal of this task is to assign to each word in the given sentence a tag corresponding to its part of speech.",c52f80f056a2de8f503bf912e8025413ec2111ec,Transformation Based Learning in the Fast Lane,2001,G. Ngai; Radu Florian,8e824aaf67f4f4f068455c6dbb7a6ed877794bd6,Classifier Combination for Improved Lexical Disambiguation,1998,Eric Brill; Jun Wu
816,J97-4003,External_98507,[1],introduction,As shown in <TARGET_CITATION/> this is a wellmotivated convention since it avoids splitting up lexical rules to transfer the specifications that must be preserved for different lexical entries .,"Finally, all such treatments of lexical rules currently available presuppose a fully explicit notation of lexical rule specifications that transfer properties not changed by the lexical rules to the newly created lexical entry. This conflicts with the standard assumption made in HPSG that only the properties changed by a lexical rule need be mentioned. As shown in <TARGET_CITATION/> this is a wellmotivated convention since it avoids splitting up lexical rules to transfer the specifications that must be preserved for different lexical entries . As shown in <CITATION/> this is a wellmotivated convention since it avoids splitting up lexical rules to transfer the specifications that must be preserved for different lexical entries.This conflicts with the standard assumption made in HPSG that only the properties changed by a lexical rule need be mentioned. Finally, all such treatments of lexical rules currently available presuppose a fully explicit notation of lexical rule specifications that transfer properties not changed by the lexical rules to the newly created lexical entry.",d0dbffcb01f315774230a0450b2f4da8c6a608f7,A Computational Treatment of Lexical Rules in HPSG as Covariation in Lexical Entries,1997,Walt Detmar Meurers; Guido Minnen,6fe64d5e31abdf3d3673decbafc7d6ddfaab1e24,"On Implementing an HPSG theory - Aspects of the logical architecture, the formalization, and the implementation of head-driven phrase structure grammars",1994,Walt Detmar Meurers
819,P07-1068,External_5960,[2],introduction,"Following <CITATION/> , we represent use the ACE training data for acquiring our SC clasSCA as a binary value that indicates whether the insifier ; instead , we use the BBN Entity Type Corpus duced SCs of the two NPs involved are the same or <TARGET_CITATION/> , which consists of not .","UnDerive two knowledge sources for coreference like them, (1) we do not perform the full MD task, resolution from the induced SCs. The first as our goal is to investigate the role of SC knowlknowledge source (KS) is semantic class agreement edge in coreference resolution; and (2) we do not (SCA). Following <CITATION/> , we represent use the ACE training data for acquiring our SC clasSCA as a binary value that indicates whether the insifier ; instead , we use the BBN Entity Type Corpus duced SCs of the two NPs involved are the same or <TARGET_CITATION/> , which consists of not . Following <CITATION/>, we represent use the ACE training data for acquiring our SC clasSCA as a binary value that indicates whether the insifier; instead, we use the BBN Entity Type Corpus duced SCs of the two NPs involved are the same or <CITATION/>, which consists of not. The first as our goal is to investigate the role of SC knowlknowledge source (KS) is semantic class agreement edge in coreference resolution; and (2) we do not (SCA). UnDerive two knowledge sources for coreference like them, (1) we do not perform the full MD task, resolution from the induced SCs.",476c783b7a837392d631a74ebb4b94a5207e5bae,Semantic Class Induction and Coreference Resolution,2007,Vincent Ng,,bbn pronoun coreference and entity type corpus linguistica data consortium,2005,R Weischedel; A Brunstein
820,W14-1609,W09-1119,[2],introduction,"Following <TARGET_CITATION/> , we also compare the performance of our system with a system using features based on the Brown clusters of the word types in a document .","In our baseline system we use lexicons of months, days, person names, companies, job titles, places, events, organizations, books, films, and some minor others. These lexicons were gathered from US Census data, Wikipedia category pages, and Wikipedia redirects (and will be made publicly available upon publication). Following <TARGET_CITATION/> , we also compare the performance of our system with a system using features based on the Brown clusters of the word types in a document . Following <CITATION/>, we also compare the performance of our system with a system using features based on the Brown clusters of the word types in a document. These lexicons were gathered from US Census data, Wikipedia category pages, and Wikipedia redirects (and will be made publicly available upon publication). In our baseline system we use lexicons of months, days, person names, companies, job titles, places, events, organizations, books, films, and some minor others.",d53d878cf1a3f0bed5d9c68c925994cb72f47304,Lexicon Infused Phrase Embeddings for Named Entity Resolution,2014,Alexandre Passos; Vineet Kumar; A. McCallum,aa9efc8b2737eac0675ba5abb5feab8305482c12,Design Challenges and Misconceptions in Named Entity Recognition,2009,Lev-Arie Ratinov; D. Roth
822,A00-1018,External_30238,[2],,We do this with a firstorder HMM partofspeech tagger ( Merialdo <TARGET_CITATION/> ) .,"Partofspeech tagger. Misleading similarities in graphical form can sometime induce translation mistakes (deceptive cognates)) These forbidden pairs normally involve only one of several possible parts of speech, hence the need to disambiguate them. We do this with a firstorder HMM partofspeech tagger ( Merialdo <TARGET_CITATION/> ) . We do this with a firstorder HMM partofspeech tagger (<CITATION/>).Misleading similarities in graphical form can sometime induce translation mistakes (deceptive cognates)) These forbidden pairs normally involve only one of several possible parts of speech, hence the need to disambiguate them. Partofspeech tagger.",a0f9181bae5840fa6d1d19a694bd9338b2c96443,An Automatic Reviser: The TransCheck System,2000,Jean-Marc Jutras,4614650c3bb3e835c80612d3bca9586f81db95a3,Tagging English Text with a Probabilistic Model,1994,B. Mérialdo
823,J04-3001,External_9007,[2],,"Using the bottomup , dynamic programming technique ( see the appendix for details ) of computing inside probabilities <TARGET_CITATION/> , we can efficiently compute the probability of the sentence , P ( w  G ) .","Note that P(v  w, G) can be viewed as a density function p(v) (i.e., the probability of assigning v to a random variable V). Mapping it back into the entropy definition from equation (3), we derive the tree entropy of w as follows: Using the bottomup , dynamic programming technique ( see the appendix for details ) of computing inside probabilities <TARGET_CITATION/> , we can efficiently compute the probability of the sentence , P ( w  G ) . Using the bottomup, dynamic programming technique (see the appendix for details) of computing inside probabilities <CITATION/>, we can efficiently compute the probability of the sentence, P(w  G). Mapping it back into the entropy definition from equation (3), we derive the tree entropy of w as follows:Note that P(v  w, G) can be viewed as a density function p(v) (i.e., the probability of assigning v to a random variable V).",6c70170f55b7e9c724b8c02db9c0f41c05254a3c,Sample Selection for Statistical Parsing,2004,R. Hwa,,the estimation of stochastic contextfree grammars using the insideoutside algorithm computer speech and language,1990,Karim A Lari; Steve J Young
827,D14-1083,P13-2142,[3],experiments,"This choice is motivated by an observation we made previously <TARGET_CITATION/> : since each post in a sequence is a reply to the preceding post , we could exploit their dependencies by determining their stance labels together .3 As our sequence learner , we employ a maximum entropy Markov model ( MEMM ) <CITATION/> .","In P2, on the other hand, we recast SC as a sequence labeling task. In other words, we train a SC model that assumes as input a post sequence and outputs a stance sequence, with one stance label for each post in the input post sequence. This choice is motivated by an observation we made previously <TARGET_CITATION/> : since each post in a sequence is a reply to the preceding post , we could exploit their dependencies by determining their stance labels together .3 As our sequence learner , we employ a maximum entropy Markov model ( MEMM ) <CITATION/> . This choice is motivated by an observation we made previously <CITATION/>: since each post in a sequence is a reply to the preceding post, we could exploit their dependencies by determining their stance labels together.3 As our sequence learner, we employ a maximum entropy Markov model (MEMM) <CITATION/>. In other words, we train a SC model that assumes as input a post sequence and outputs a stance sequence, with one stance label for each post in the input post sequence. In P2, on the other hand, we recast SC as a sequence labeling task.",3543efd388e2c1af4b64ec69d4b8510570c01f8c,Why are You Taking this Stance? Identifying and Classifying Reasons in Ideological Debates,2014,K. Hasan; Vincent Ng,b634a489624ead65075b3b9caae77eab9344174d,Extra-Linguistic Constraints on Stance Recognition in Ideological Debates,2013,K. Hasan; Vincent Ng
828,P97-1063,External_6444,[0],introduction,"Over the past decade , researchers at IBM have developed a series of increasingly sophisticated statistical models for machine translation <TARGET_CITATION/> ."," Over the past decade , researchers at IBM have developed a series of increasingly sophisticated statistical models for machine translation <TARGET_CITATION/> . Over the past decade, researchers at IBM have developed a series of increasingly sophisticated statistical models for machine translation <CITATION/>.",b66fc3bbba9027fd1f0ebf6d1c5c849ef15ca695,A Word-to-Word Model of Translational Equivalence,1997,I. D. Melamed,,a statistical approach to language translationquot,1988,P F Brown; J Cocke; S Della Pietra; V Della Pietra; F Jelinek; R Mercer; P Roossin
829,J00-2005,J98-3004,[0],introduction,"This may be because pipelines have many engineering advantages , and in practice the sort of problems pointed out by Danlos and other pipeline critics do not seem to be a major problem in current applied NLG systems <TARGET_CITATION/> .","This is largely due to the fact that pipelined systems cannot perform general search over a decision space that includes decisions made in more than one module. Despite these arguments, most applied NLG systems use a pipelined architecture; indeed, a pipeline was used in every one of the systems surveyed by <CITATION/>. This may be because pipelines have many engineering advantages , and in practice the sort of problems pointed out by Danlos and other pipeline critics do not seem to be a major problem in current applied NLG systems <TARGET_CITATION/> . This may be because pipelines have many engineering advantages, and in practice the sort of problems pointed out by Danlos and other pipeline critics do not seem to be a major problem in current applied NLG systems <CITATION/>.Despite these arguments, most applied NLG systems use a pipelined architecture; indeed, a pipeline was used in every one of the systems surveyed by <CITATION/>. This is largely due to the fact that pipelined systems cannot perform general search over a decision space that includes decisions made in more than one module.",f10e6b08a31d42bd0c6f51808cfa1058d170fd49,Pipelines and size constraints,2000,Ehud Reiter,f569c8bcddfbfb57ab03b5a74c794fb95fa16f9b,Describing Complex Charts in Natural Language: A Caption Generation System,1998,Vibhu Mittal; Johanna D. Moore; G. Carenini; Steven F. Roth
830,N04-2004,External_5189,[0],introduction,"This approach has its roots in Fillmore 's Case <CITATION/> , and serves as the foundation for two current largescale semantic annotation projects : FrameNet <CITATION/> and PropBank <TARGET_CITATION/> .","A common lexical semantic representation in the computational linguistics literature is a framebased model where syntactic arguments are associated with various semantic roles (essentially frame slots). Verbs are viewed as simple predicates over their arguments. This approach has its roots in Fillmore 's Case <CITATION/> , and serves as the foundation for two current largescale semantic annotation projects : FrameNet <CITATION/> and PropBank <TARGET_CITATION/> . This approach has its roots in Fillmore's Case <CITATION/>, and serves as the foundation for two current largescale semantic annotation projects: FrameNet <CITATION/> and PropBank <CITATION/>. Verbs are viewed as simple predicates over their arguments. A common lexical semantic representation in the computational linguistics literature is a framebased model where syntactic arguments are associated with various semantic roles (essentially frame slots).",1f921759e67ad6e6e85cf4d70028d4ff85de029b,A Computational Framework for Non-Lexicalist Semantics,2004,Jimmy J. Lin,621566b223a73c0a7d8cf918297ac02c5e58af38,Adding Semantic Annotation to the Penn TreeBank,1998,Andrew J. Fleming; Paul R. Kingsbury; Martha Palmer; Mitchell P. Marcus
831,J87-3002,External_8297,[4],introduction,"Two exceptions to this generalisation are the Linguistic String Project <TARGET_CITATION/> and the IBM CRITIQUE ( formerly EPISTLE ) Project <CITATION/> ; the former employs a dictionary of approximately 10,000 words , most of which are specialist medical terms , the latter has well over 100,000 entries , gathered from machine readable sources .","Few established parsing systems have substantial lexicons and even those which employ very comprehensive grammars (eg. <CITATION/>) consult relatively small lexicons, typically generated by hand. Two exceptions to this generalisation are the Linguistic String Project <TARGET_CITATION/> and the IBM CRITIQUE ( formerly EPISTLE ) Project <CITATION/> ; the former employs a dictionary of approximately 10,000 words , most of which are specialist medical terms , the latter has well over 100,000 entries , gathered from machine readable sources . Two exceptions to this generalisation are the Linguistic String Project <CITATION/> and the IBM CRITIQUE (formerly EPISTLE) Project <CITATION/>; the former employs a dictionary of approximately 10,000 words, most of which are specialist medical terms, the latter has well over 100,000 entries, gathered from machine readable sources. <CITATION/>) consult relatively small lexicons, typically generated by hand. Few established parsing systems have substantial lexicons and even those which employ very comprehensive grammars (eg.",998dbb7344086edaf050ec9dcfc886d359f18458,Large Lexicons for Natural Language Processing: Utilising the Grammar Coding System of LDOCE,1987,B. Boguraev,184cd16220d0cf381d216d516654c19de22b6309,Natural Language Information Processing Based on the Valid Traditional Syllogisms EIO-4,2019,Feifei Yang; Xiaojun Zhang
832,W00-1017,A00-1014,[4],,They can also shift the dialogue 2The notion of the initiative in this paper is different from that of the dialogue initiative of <TARGET_CITATION/> .,"In the first two phases, the user holds the initiative, and in the last phase, the system holds the initiative. Functions defined here decide what string should be spoken and send that string to the speech output module based on the current dialogue state. They can also shift the dialogue 2The notion of the initiative in this paper is different from that of the dialogue initiative of <TARGET_CITATION/> . They can also shift the dialogue 2The notion of the initiative in this paper is different from that of the dialogue initiative of <CITATION/>. Functions defined here decide what string should be spoken and send that string to the speech output module based on the current dialogue state. In the first two phases, the user holds the initiative, and in the last phase, the system holds the initiative.",143c89043402241b9db0d37b79632823f2fa70ee,WIT: A Toolkit for Building Robust and Real-Time Spoken Dialogu Systems,2000,Mikio Nakano; Noboru Miyazaki; Norihito Yasuda; Akira Sugiyama; Jun-ichi Hirasawa; Kohji Dohsaka; K. Aikawa,80ed6bf3a0a7cf1ce7f98585954ac6d62230da78,MIMIC: An Adaptive Mixed Initiative Spoken Dialogue System for Information Queries,2000,Jennifer Chu-Carroll
833,N10-1084,External_9487,[0],experiments,"The Google ngram data was collected by Google Research for statistical language modelling , and has been used for many tasks such as lexical disambiguation <TARGET_CITATION/> , and contains English ngrams and their observed frequency counts , for counts of at least 40 ."," The Google ngram data was collected by Google Research for statistical language modelling , and has been used for many tasks such as lexical disambiguation <TARGET_CITATION/> , and contains English ngrams and their observed frequency counts , for counts of at least 40 . The Google ngram data was collected by Google Research for statistical language modelling, and has been used for many tasks such as lexical disambiguation <CITATION/>, and contains English ngrams and their observed frequency counts, for counts of at least 40.",b751fbbcdb05973856b18362baf8da581a4edfc3,Linguistic Steganography Using Automatically Generated Paraphrases,2010,Ching-Yun Chang; S. Clark,,webscale ngram models for lexical disambiguation,2009,Shane Bergsma; Dekang Lin; Randy Goebel
834,D09-1056,N04-1002,[0],related work,Withindocument coreference resolution has been applied to produce summaries of text surrounding occurrences of the name <TARGET_CITATION/> .,Many different features have been used to represent documents where an ambiguous name is mentioned. The most basic is a Bag of Words (BoW) representation of the document text. Withindocument coreference resolution has been applied to produce summaries of text surrounding occurrences of the name <TARGET_CITATION/> . Withindocument coreference resolution has been applied to produce summaries of text surrounding occurrences of the name <CITATION/>. The most basic is a Bag of Words (BoW) representation of the document text. Many different features have been used to represent documents where an ambiguous name is mentioned.,a7b930b3297dfbb87813a8f47db1a45acaff76a4,The role of named entities in Web People Search,2009,J. Artiles; Enrique Amigó; Julio Gonzalo,6322fcf2cb8af5a557cc20fd5757d249c3dcdd3a,Cross-Document Coreference on a Large Scale Corpus,2004,Chung Heong Gooi; James Allan
835,W04-0910,External_51289,[2],,"To represent the semantics of predicative units , we use FrameNet inventory of frames and frame elements ( C.<TARGET_CITATION/> ) .","That is, we need to fix a concept inventory and to use this inventory in a consistent way in particular, by assigning synonyms the same concept. For non predicative units, we use WordNet synset numbers or when working within a restricted domain with a well defined thesaurus, the descriptors of that thesaurus. To represent the semantics of predicative units , we use FrameNet inventory of frames and frame elements ( C.<TARGET_CITATION/> ) . To represent the semantics of predicative units, we use FrameNet inventory of frames and frame elements (C.<CITATION/>). For non predicative units, we use WordNet synset numbers or when working within a restricted domain with a well defined thesaurus, the descriptors of that thesaurus. That is, we need to fix a concept inventory and to use this inventory in a consistent way in particular, by assigning synonyms the same concept.",baa4bd0d1d3c6e3c7641177982283fbec39646f7,Paraphrastic grammars,2004,Claire Gardent; Marilisa Amoia; Évelyne Jacquey,469449353f4b546716ea31243ff52a628b3b1788,FrameNet: Theory and Practice,2003,Christopher R. Johnson; Miriam R. L. Petruck; Collin F. Baker; Michael Ellsworth; Josef Ruppenhofer; C. Fillmore
836,P13-3018,External_83583,[0],related work,Similar observation for surface word frequency was also observed by <TARGET_CITATION/> where it has been claimed that words having low surface frequency tends to decompose .,"It has been argued that frequency of a word influences the speed of lexical processing and thus, can serve as a diagnostic tool to observe the nature and organization of lexical representations. <CITATION/> with his experiment on English inflected words, argued that lexical decision responses of polymorphemic words depends upon the base word frequency. Similar observation for surface word frequency was also observed by <TARGET_CITATION/> where it has been claimed that words having low surface frequency tends to decompose . Similar observation for surface word frequency was also observed by <CITATION/> where it has been claimed that words having low surface frequency tends to decompose. <CITATION/> with his experiment on English inflected words, argued that lexical decision responses of polymorphemic words depends upon the base word frequency. It has been argued that frequency of a word influences the speed of lexical processing and thus, can serve as a diagnostic tool to observe the nature and organization of lexical representations.",97139bdadb6349ff46a4d970aaa8d8621cdc7cc8,Psycholinguistically Motivated Computational Models on the Organization and Processing of Morphologically Complex Words,2013,Tirthankar Dasgupta,0c3e2e233a752d09cd29b4fe9bd727bd0c2a1780,Morphological Decomposition and the Reverse Base Frequency Effect,2004,M. Taft
837,P10-2059,External_345,[2],,"These two sets of data were used for automatic dialogue act classification , which was run in the Weka system <TARGET_CITATION/> .","5 Analysis of the dataThe multimodal data we obtained by combining the linguistic annotations from DanPASS with the gesture annotation created in ANVIL, resulted into two different groups of data, one containing all Yes and No expressions, and the other the subset of those that are accompanied by a face expression or a head movement, as shown in Table 4. These two sets of data were used for automatic dialogue act classification , which was run in the Weka system <TARGET_CITATION/> . These two sets of data were used for automatic dialogue act classification, which was run in the Weka system <CITATION/>. The multimodal data we obtained by combining the linguistic annotations from DanPASS with the gesture annotation created in ANVIL, resulted into two different groups of data, one containing all Yes and No expressions, and the other the subset of those that are accompanied by a face expression or a head movement, as shown in Table 4.5 Analysis of the data",b05885c63b300c02f9fc1523875af242526b2ba9,Classification of Feedback Expressions in Multimodal Data,2010,Costanza Navarretta; Patrizia Paggio,730ca170962a58607e092035beb2afc4b5fa6242,Data Mining Practical Machine Learning Tools and Techniques,2014,อนิรุธ สืบสิงห์
838,W00-1312,External_3897,[2],, The transition probability a is 0.7 using the EM algorithm <TARGET_CITATION/> on the TREC4 adhoc query set .,"According to that model of monolingual retrieval, it can be shown thatwhere W's are query words in Q. Miller et al. estimated probabilities as follows: The transition probability a is 0.7 using the EM algorithm <TARGET_CITATION/> on the TREC4 adhoc query set .  The transition probability a is 0.7 using the EM algorithm <CITATION/> on the TREC4 adhoc query set. where W's are query words in Q. Miller et al. estimated probabilities as follows:According to that model of monolingual retrieval, it can be shown that",e68a7773495e3407d8e040fff8c67d614df08265,Cross-lingual Information Retrieval Using Hidden Markov Models,2000,Jinxi Xu; R. Weischedel,8fe2ea0a67954f1380b3387e3262f1cdb9f9b3e5,A tutorial on hidden Markov models and selected applications in speech recognition,1989,L. Rabiner
839,P10-2059,External_10875,[0],introduction,"<TARGET_CITATION/> obtain promising results in dialogue act tagging of the SwitchboardDAMSL corpus using lexical , syntactic and prosodic cues , while <CITATION/> examine the relation between particular acoustic and prosodic turnyielding cues and turn taking in a large corpus of taskoriented dialogues .","Related are also the studies by Rieks op den <CITATION/>: both achieve promising results in the automatic segmentation of dialogue acts using the annotations in a large multimodal corpus. Work has also been done on prosody and gestures in the specific domain of maptask dialogues, also targeted in this paper. <TARGET_CITATION/> obtain promising results in dialogue act tagging of the SwitchboardDAMSL corpus using lexical , syntactic and prosodic cues , while <CITATION/> examine the relation between particular acoustic and prosodic turnyielding cues and turn taking in a large corpus of taskoriented dialogues . <CITATION/> obtain promising results in dialogue act tagging of the SwitchboardDAMSL corpus using lexical, syntactic and prosodic cues, while <CITATION/> examine the relation between particular acoustic and prosodic turnyielding cues and turn taking in a large corpus of taskoriented dialogues. Work has also been done on prosody and gestures in the specific domain of maptask dialogues, also targeted in this paper. Related are also the studies by Rieks op den <CITATION/>: both achieve promising results in the automatic segmentation of dialogue acts using the annotations in a large multimodal corpus.",b05885c63b300c02f9fc1523875af242526b2ba9,Classification of Feedback Expressions in Multimodal Data,2010,Costanza Navarretta; Patrizia Paggio,a125cd860ec9fedd468e86458c755494f3c14cb5,"Combining lexical, syntactic and prosodic cues for improved online dialog act tagging",2009,V. Sridhar; S. Bangalore; Shrikanth S. Narayanan
840,W04-1610,External_1878,[0],experiments,"<TARGET_CITATION/> has found strong correlations between DF , IG and the X2 statistic for a term .","Feature selection techniques have been widely used in information retrieval as a means for coping with the large number of words in a document; a selection is made to keep only the more relevant words. Various feature selection techniques have been used in automatic text categorization; they include document frequency (DF), information gain (IG) <CITATION/>, minimum description length principal <CITATION/>, and the X2 statistic. <TARGET_CITATION/> has found strong correlations between DF , IG and the X2 statistic for a term . <CITATION/> has found strong correlations between DF, IG and the X2 statistic for a term. Various feature selection techniques have been used in automatic text categorization; they include document frequency (DF), information gain (IG) <CITATION/>, minimum description length principal <CITATION/>, and the X2 statistic. Feature selection techniques have been widely used in information retrieval as a means for coping with the large number of words in a document; a selection is made to keep only the more relevant words.",63774ca26b22750390b83480b96d56f8acf34550,Automatic Arabic Document Categorization Based on the Naïve Bayes Algorithm,2004,Mohamed El Kourdi; A. Bensaid; T. Rachidi,c3ebcef26c22a373b6f26a67934213eb0582804e,A Comparative Study on Feature Selection in Text Categorization,1997,Yiming Yang; Jan O. Pedersen
